Expense_id,Transaction, Amount ,Category,Sub-Category,Payment_Method,Description
198,2019-10-21,22.05,Food,Grocery,Cash,H-E-B #031 10-19-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
199,2019-10-21,4.09,Food,Alcohol,Cash,HYATT REGENCY AUST 10-17 AUSTIN TX xxxx DEBIT CARD PURCHASE
200,2019-10-21,12.14,Food,Snacks,Cash,STARBUCKS STORE 06 10-19 AUSTIN TX xxxx DEBIT CARD PURCHASE
201,2019-10-22,10.50,Food,Dine out,Credit Card,PANDA EXPRESS #1289 2501 WEST PARMER LANE AUSTIN 78727 TX USA
202,2019-10-22,44.79,Food,Grocery,Credit Card,H-E-B #218 12407 MOPAC EXPRESSWAY AUSTIN 78758 TX USA
203,2019-10-22,53.09,Food,Grocery,Credit Card,H-E-B #218 12407 MOPAC EXPRESSWAY AUSTIN 78758 TX USA
204,2019-10-22,14.60,Shopping,Gifts,Cash,TARGET T-2409 10107 RESEA 10-21- 19 AUSTIN TX xxxx DEBIT CARD PURCHASE-PIN
205,2019-10-22,53.84,Food,Grocery,Cash,H-E-B #024 10-21-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
206,2019-10-22,11.42,Food,Grocery,Cash,H-E-B #269 10-21-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
207,2019-10-22,9.96,Shopping,Personal,Cash,WALGREENS STORE 11724 RES 10-21- 19 AUSTIN TX xxxx DEBIT CARD PURCHASE-PIN
208,2019-10-22,203.67,Bills,Electricity,Credit Card,PAYMENT City of Austin T 1071 ACH DEBIT
209,2019-10-22,100.00,Bills,Phone,Cash,CRICKET WIRELESS 10-21 855-246-2 461 FL xxxx DEBIT CARD PURCHASE
210,2019-10-23,9.37,Food,Dine out,Credit Card,WENDY'S 115 1910 W BRAKER LN AUSTIN 78758 TX USA
211,2019-10-23,4.50,Food,Dine out,Credit Card,"APPLE CAFFE APLCM 5505 W PARMER LN, BLDG 5 AUSTIN 78727 TX USA"
212,2019-10-23,1.35,Food,Dine out,Credit Card,VENDWATCH TELEMATICS 204 W POWELL LN AUSTIN 78753 TX USA
213,2019-10-23,17.29,Food,Snacks,Credit Card,WALGREENS #4632 1910 W BRAKER LN AUSTIN 78758 TX USA
214,2019-10-23,3.00,Bank Charges,ATM Fee,Cash,10-22-19 AUSTIN TX xxxx NEW YORK STYLE BARBERSHOP DEBIT CARD NON-BBT ATM FEE
215,2019-10-23,43.00,Food,Dine out,Cash,NEW YORK STYLE BARBERSHOP 10-22- 19 AUSTIN TX xxxx ATM NETWORK CASH WITHDRAWAL
216,2019-10-24,18.88,Food,Dine out,Credit Card,WENDY'S 115 1910 W BRAKER LN AUSTIN 78758 TX USA
217,2019-10-24,4.50,Food,Snacks,Credit Card,"APPLE CAFFE APLCM 5505 W PARMER LN, BLDG 5 AUSTIN 78727 TX USA"
218,2019-10-24,134.42,Food,Delivery,Cash,SNAPKITCHEN.COM 10-23 HTTPSSNAPK ITC TX xxxx DEBIT CARD RECURRING PYMT
219,2019-10-24,40.00,Food,Grocery,Cash,H-E-B #031 10-23-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
220,2019-10-24,17.75,Food,Grocery,Cash,H-E-B #031 10-24-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
221,2019-10-25,14.88,Food,Dine out,Credit Card,STARBUCKS STORE 48298 3120 PALM WAY SUITE 110 AUSTIN 78758 TX USA
222,2019-10-25,73.08,Food,Grocery,Credit Card,WHOLEFDS DOM # 10316 11920 DOMAIN DR AUSTIN 78758 TX USA
223,2019-10-25,10.00,Healthcare,Copay,Cash,Shrink 10-24 AUSTIN T X xxxx DEBIT CARD PURCHASE
224,2019-10-25,20.00,Food,Dine out,Cash,RZ FOOD MART 10-24-19 AUSTIN TX xxxx DEBIT CARD PURCHASE-PIN
225,2019-10-27,123.64,Entertainment,Tour Package,Credit Card,AUSTIN TOUR COMPANY 1602 FAIR OAKS DR AUSTIN 78745 TX USA
226,2019-10-28,56.78,Shopping,Gifts,Cash,TARGET T-2409 10107 RESEA 10-25- 19 AUSTIN TX xxxx DEBIT CARD PURCHASE-PIN
227,2019-10-28,8.86,Food,Grocery,Cash,FIESTA MART #25 10-26-19 AUSTIN TX xxxx DEBIT CARD PURCHASE-PIN
228,2019-10-28,116.60,Food,Grocery,Cash,H-E-B #024 10-26-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
229,2019-10-28,61.96,Food,Grocery,Cash,H-E-B #031 10-27-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
230,2019-10-28,9.51,Shopping,Gifts,Cash,WALGREENS STORE 11724 RES 10-25- 19 AUSTIN TX xxxx DEBIT CARD PURCHASE-PIN
231,2019-10-29,61.54,Shopping,Gifts,Cash,TARGET T-2409 10107 RESEA 10-28- 19 AUSTIN TX xxxx DEBIT CARD PURCHASE-PIN
232,2019-10-29,31.42,Shopping,Hobby,Cash,WILD BIRDS UNLIMIT 10-28 AUSTIN TX xxxx DEBIT CARD PURCHASE
233,2019-10-30,35.00,Automobile,Gas,Cash,7-ELEVEN 36610 2616 WEST BRAKER AUSTIN 78758 TX USA
234,2019-10-30,0.98,Food,Grocery,Cash,H-E-B #031 10-29-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
235,2019-10-30,35.00,Healthcare,Copay,Cash,AUSTIN HEART CEDAR 10-29 AUSTIN TX xxxx DEBIT CARD PURCHASE
236,2019-10-31,58.56,Food,Delivery,Cash,SNAP KITCHEN ARBOR 10-30 AUSTIN TX xxxx DEBIT CARD PURCHASE
237,2019-10-31,23.37,Shopping,Gifts,Cash,TARGET T-1797 10900 LAKEL 10-30- 19 AUSTIN TX xxxx DEBIT CARD PURCHASE-PIN
238,2019-10-31,59.93,Food,Grocery,Cash,GREEN CHEF 10-31 888-236-7295 CO xxxx DEBIT CARD RECURRING PYMT
239,2019-10-31,13.03,Food,Grocery,Cash,H-E-B #031 10-30-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
240,2019-11-01,29.72,Food,Dine out,Credit Card,DOMINO'S 9322 1910 W BRAKER LN STE 500 512-650-4007 78758 TX USA
241,2019-11-01,15.11,Food,Snacks,Credit Card,WALGREENS #6734 3921 W PARMER LN AUSTIN 78727 TX USA
242,2019-11-01,1500.00,Bills,Rent,Cash,GALLARY AT DOMAIN 3000 KRAMER LN AUSTIN 78758 TX USA
243,2019-11-01,320.00,Loan,Car Payment,Credit Card,AUDI FCS ST.LOUIS MO 63118 USA
244,2019-11-01,499.16,Vacation,Airfare,Credit Card,SPIRIT AI 2800 EXECUTIVE WAY MIRAMAR 33025-6542FL USA
245,2019-11-01,35.54,Food,Grocery,Cash,H-E-B #031 10-31-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
246,2019-11-02,61.00,Automobile,Parking,Credit Card,UT PARKING AND TRANS 1815 TRINITY ST. D3000 AUSTIN 78713 TX USA
247,2019-11-03,25.98,Food,Dine out,Credit Card,REVELRY KITCHEN AND BA1410E 6TH ST AUSTIN 78702 TX USA
248,2019-11-04,26.95,Food,Dine out,Cash,ASIA CAFE 11-02 AUSTIN TX xxxx D EBIT CARD PURCHASE
249,2019-11-04,20.86,Food,Dine out,Cash,PICNIK 11-03 AUSTIN TX xxxx DEBI T CARD PURCHASE
250,2019-11-04,37.71,Food,Grocery,Cash,FIESTA MART #25 11-03-19 AUSTIN TX xxxx DEBIT CARD PURCHASE-PIN
251,2019-11-04,53.06,Food,Grocery,Cash,H-E-B #024 11-03-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
252,2019-11-04,28.00,Food,Grocery,Cash,H-E-B #031 11-02-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
253,2019-11-04,14.46,Healthcare,Medication,Cash,WALGREENS STORE 11724 RES 11-03- 19 AUSTIN TX xxxx DEBIT CARD PURCHASE-PIN
254,2019-11-04,17.31,Bills,TV Subscription,Cash,Netflix.com 11-02 netflix.com CA xxxx DEBIT CARD RECURRING PYMT
255,2019-11-04,1290.00,Bills,Rent,Cash,CHECK
256,2019-11-04,85.00,Shopping,Personal,Cash,ULTA 3 #75 11-02-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
257,2019-11-05,7.00,Food,Dine out,Credit Card,"APPLE CAFFE APLCM 5505 W PARMER LN, BLDG 5 AUSTIN 78727 TX USA"
258,2019-11-05,6.00,Food,Dine out,Credit Card,"APPLE CAFFE APLCM 5505 W PARMER LN, BLDG 5 AUSTIN 78727 TX USA"
259,2019-11-05,338.60,Food,Dine out,Cash,ALASKA AIR 027214 11-02 SEATTLE WA xxxx DEBIT CARD PURCHASE
260,2019-11-05,21.92,Food,Dine out,Cash,SAPS FINE THAI CUI 11-03 AUSTIN TX xxxx DEBIT CARD PURCHASE
261,2019-11-05,5.41,Food,Dine out,Cash,SAPS FINE THAI CUI 11-03 AUSTIN TX xxxx DEBIT CARD PURCHASE
262,2019-11-06,4.50,Food,Dine out,Credit Card,"APPLE CAFFE APLCM 5505 W PARMER LN, BLDG 5 AUSTIN 78727 TX USA"
263,2019-11-06,60.00,Automobile,Parking,Cash,UT PARKING AND TRA 11-04 512-471 7275 TX xxxx DEBIT CARD PURCHASE
264,2019-11-06,12.00,Food,Snacks,Cash,UT ROWLING HALL GA 11-04 AUSTIN TX xxxx DEBIT CARD PURCHASE
265,2019-11-06,133.52,Food,Delivery,Cash,SNAPKITCHEN.COM 11-05 HTTPSSNAPK ITC TX xxxx DEBIT CARD RECURRING PYMT
266,2019-11-07,1.50,Food,Snacks,Credit Card,USA*CANTEEN VENDING 3410 STEEN STREET SAN ANTONIO 78210 TX USA
267,2019-11-07,11.00,Food,Dine out,Credit Card,TACO BELL #030168 2600 W BRAKER LANE AUSTIN 78758 TX USA
268,2019-11-07,5.61,Bills,Apple Services,Credit Card,APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA
269,2019-11-07,4.32,Food,Grocery,Credit Card,PP*DOBIEMARKET 7700 EASTPORT PARKWAY AUSTIN 78705 TX USA
270,2019-11-07,4.96,Food,Grocery,Cash,H-E-B #031 11-06-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
271,2019-11-07,4.83,Food,Snacks,Cash,HYATT REGENCY AUST 11-05 AUSTIN TX xxxx DEBIT CARD PURCHASE
272,2019-11-08,20.96,Food,Grocery,Credit Card,WHOLEFDS DOM # 10316 11920 DOMAIN DR AUSTIN 78758 TX USA
273,2019-11-08,29.23,Food,Dine out,Cash,SQ *KREYOL KORNER 11-07 AUSTIN T X xxxx DEBIT CARD PURCHASE
274,2019-11-08,14.90,Food,Grocery,Cash,H-E-B #031 11-07-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
275,2019-11-08,10.00,Healthcare,Copay,Cash,Shrink 11-07 AUSTIN T X xxxx DEBIT CARD PURCHASE
276,2019-11-08,4.06,Food,Snacks,Cash,CHEVRON/EDDIE SLACK DBA 11-07-19 AUSTIN TX xxxx DEBIT CARD PURCHASE-PIN
277,2019-11-09,26.73,Food,Dine out,Credit Card,PUNCH BOWL SOCIAL AUST11310 DOMAIN DR AUSTIN 78758 TX USA
278,2019-11-09,45.50,Shopping,Home Improvement,Credit Card,THE HOME DEPOT #6839 10515 N MOPAC NC EXPRSWY AUSTIN 787590000 TX USA
279,2019-11-10,20.57,Shopping,Personal,Credit Card,APPLE STORE #R216 11410 CENTURY OAKS TERRACE AUSTIN 78758 TX USA
280,2019-11-10,19.94,Food,Grocery,Credit Card,WHOLEFDS DOM # 10316 11920 DOMAIN DR AUSTIN 78758 TX USA
281,2019-11-10,96.35,Food,Grocery,Credit Card,H-E-B #269 10710 RESEARCH BLVD. AUSTIN 78759 TX USA
282,2019-11-11,6.00,Food,Dine out,Credit Card,"APPLE CAFFE APLCM 5505 W PARMER LN, BLDG 5 AUSTIN 78727 TX USA"
283,2019-11-11,11.97,Food,Dine out,Credit Card,MCDONALD'S F14122 2608 W. BEAKER LN. AUSTIN 78758 TX USA
284,2019-11-11,57.20,Food,Grocery,Credit Card,NESPRESSO USA INC 11410 CENTURY OAKS TERRACE AUSTIN 78758 TX USA
285,2019-11-12,9.61,Food,Dine out,Cash,WENDY'S 112 11-10 AUSTIN TX xxxx DEBIT CARD PURCHASE
286,2019-11-12,18.13,Food,Grocery,Cash,FIESTA MART #25 11-10-19 AUSTIN TX xxxx DEBIT CARD PURCHASE-PIN
287,2019-11-12,133.84,Food,Grocery,Cash,H-E-B #031 11-11-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
288,2019-11-12,78.88,Food,Grocery,Cash,H-E-B #024 11-10-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
289,2019-11-12,15.93,Food,Grocery,Cash,H-E-B #031 11-11-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
290,2019-11-12,4.33,Food,Grocery,Cash,H-E-B #031 11-10-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
291,2019-11-12,1.07,Food,Snacks,Cash,CHEVRON/EDDIE SLACK DBA 11-08-19 AUSTIN TX xxxx DEBIT CARD PURCHASE-PIN
292,2019-11-12,4.87,Food,Snacks,Cash,SQ *TROPICAL DREAM 11-09 AUSTIN TX xxxx DEBIT CARD PURCHASE
293,2019-11-13,1.50,Food,Snacks,Credit Card,USA*CANTEEN VENDING 3410 STEEN STREET SAN ANTONIO 78210 TX USA
294,2019-11-13,20.93,Food,Delivery,Credit Card,HELLOFRESH 40 W 25TH ST FL 6 646-846-3663 10010 NY USA
295,2019-11-13,133.52,Food,Delivery,Cash,SNAPKITCHEN.COM 11-12 HTTPSSNAPK ITC TX xxxx DEBIT CARD RECURRING PYMT
296,2019-11-13,3.60,Food,Snacks,Cash,CHEVRON/EDDIE SLACK DBA 11-12-19 AUSTIN TX xxxx DEBIT CARD PURCHASE-PIN
297,2019-11-15,11.76,Food,Dine out,Credit Card,WENDY'S 115 1910 W BRAKER LN AUSTIN 78758 TX USA
298,2019-11-15,34.84,Food,Grocery,Credit Card,WALGREENS #4632 1910 W BRAKER LN AUSTIN 78758 TX USA
299,2019-11-15,43.00,Automobile,Gas,Cash,CHEVRON 0210476 3801 W PARMER LN AUSTIN 78727 TX USA
300,2019-11-15,26.41,Automobile,Gas,Cash,CHEVRON/EDDIE SLACK DBA 11-14-19 AUSTIN TX xxxx DEBIT CARD PURCHASE-PIN
301,2019-11-15,11.31,Healthcare,Vitamins,Cash,WALGREENS STORE 11724 RES 11-14- 19 AUSTIN TX xxxx DEBIT CARD PURCHASE-PIN
302,2019-11-17,78.99,Automobile,Toll Fee,Credit Card,RMA TOLL 200 SPECTRUM CENTER DR 833-762-8655 92618 CA USA
303,2019-11-17,170.87,Food,Grocery,Credit Card,TARGET 000009508601 RESEARCH BLVD AUSTIN 78758 TX USA
304,2019-11-18,7.52,Food,Dine out,Credit Card,CHIPOTLE ONLINE 1401 WYNKOOP ST #500 3035954000 80202 CO USA
305,2019-11-18,85.07,Food,Grocery,Cash,H-E-B #024 11-17-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
306,2019-11-18,46.45,Food,Grocery,Cash,H-E-B #031 11-15-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
307,2019-11-18,4.79,Food,Snacks,Cash,HYATT REGENCY AUST 11-14 AUSTIN TX xxxx DEBIT CARD PURCHASE
308,2019-11-18,57.64,Bills,Cable Internet,Cash,Payment ATT PAYS  AC H DEBIT
309,2019-11-19,1.35,Food,Dine out,Credit Card,"EGGROLL EXPRESS 6301 W PARMER LN, STE 20 AUSTIN 78729 TX USA"
310,2019-11-19,30.86,Food,Dine out,Credit Card,"EGGROLL EXPRESS 6301 W PARMER LN, STE 20 AUSTIN 78729 TX USA"
311,2019-11-19,4.87,Food,Dine out,Credit Card,MOON TOWER QPS1900 UNIVERSITY AVE AUSTIN 78705 TX USA
312,2019-11-19,0.99,Bills,Apple Services,Credit Card,APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA
313,2019-11-19,27.01,Shopping,Personal,Credit Card,AMAZON MARKETPLACE       SEATTLE      WA Professional Manual Blood Pres SHIPPING AND TAX
314,2019-11-20,8.99,Bills,Apple Services,Credit Card,APPLE.COM/BILL ONE APPLE PARK WAY 1111111111 95014 CA USA
315,2019-11-20,21.21,Food,Grocery,Credit Card,H-E-B #218 12407 MOPAC EXPRESSWAY AUSTIN 78758 TX USA
316,2019-11-20,133.52,Food,Delivery,Cash,SNAPKITCHEN.COM 11-19 HTTPSSNAPK ITC TX xxxx DEBIT CARD RECURRING PYMT
317,2019-11-20,23.30,Food,Grocery,Cash,H-E-B #031 11-19-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
318,2019-11-20,19.43,Shopping,Personal,Credit Card,AMAZON MARKETPLACE       SEATTLE      WA Classic Single Head Cardiology SHIPPING AND TAX
319,2019-11-21,10.81,Bills,Apple Services,Credit Card,APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA
320,2019-11-22,6.68,Food,Dine out,Credit Card,DAIRY QUEEN #13835 8300 N BURNET ROAD AUSTIN 78757 TX USA
321,2019-11-22,18.54,Food,Grocery,Credit Card,WHOLEFDS DOM # 10316 11920 DOMAIN DR AUSTIN 78758 TX USA
322,2019-11-22,20.93,Food,Grocery,Credit Card,HELLOFRESH 40 W 25TH ST FL 6 646-846-3663 10010 NY USA
323,2019-11-22,14.90,Food,Grocery,Cash,H-E-B #031 11-21-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
324,2019-11-22,10.00,Healthcare,Copay,Cash,Shrink 11-21 AUSTIN T X xxxx DEBIT CARD PURCHASE
325,2019-11-24,16.75,Food,Dine out,Credit Card,SQ *SQ *SPICY BOYS7013 BILL HUGHES RD AUSTIN 78745 TX USA
326,2019-11-24,139.97,Food,Grocery,Credit Card,TRADER JOE'S #454 QPS 9722 GREAT HILLS TRL 200 AUSTIN 78759 TX USA
327,2019-11-25,20.58,Food,Dine out,Credit Card,TST* ZILKER BREWING CO1701 E 6TH ST AUSTIN 78702 TX USA
328,2019-11-25,2.15,Food,Delivery,Cash,SNAP KITCHEN ARBOR 11-23 AUSTIN TX xxxx DEBIT CARD PURCHASE
329,2019-11-25,2.71,Food,Snacks,Cash,SQ *TROPICAL DREAM 11-23 AUSTIN TX xxxx DEBIT CARD PURCHASE
330,2019-11-25,199.93,Bills,Electricity,Credit Card,PAYMENT City of Austin T 1071 ACH DEBIT
331,2019-11-26,20.73,Food,Dine out,Credit Card,CHIPOTLE 0847 10515 NORTH MOPAC EXPRWY AUSTIN 78759 TX USA
332,2019-11-27,24.97,Food,Grocery,Credit Card,WHOLEFDS DOM # 10316 11920 DOMAIN DR AUSTIN 78758 TX USA
333,2019-11-27,129.92,Food,Delivery,Cash,SNAPKITCHEN.COM 11-26 5124284000 TX xxxx DEBIT CARD PURCHASE
334,2019-11-29,28.15,Shopping,Gifts,Credit Card,AMAZON RETAIL            SEATTLE      WA Remo RH-1206-00 Rhythm Club Ko SHIPPING AND TAX
335,2019-11-29,2.02,Shopping,Gifts,Credit Card,AMAZON MARKETPLACE       SEATTLE      WA LiKee Wooden Pattern Blocks An Baby Einstein Explore & Discov Haifeng Educational Toys Drill Baby Einstein Rock
336,2019-11-29,29.69,Shopping,Gifts,Credit Card,AMAZON MARKETPLACE       SEATTLE      WA Hape Turtle Shape Sorter Woode SHIPPING AND TAX
337,2019-11-29,34.62,Shopping,Gifts,Credit Card,AMAZON MARKETPLACE       SEATTLE      WA EFANBABY Toddler Winter Baby H Crochet Cute Owl Knitted Baby SHIPPING AND TAX
338,2019-11-30,33.46,Food,Dine out,Credit Card,SALVATION PIZZA 11501 ROCK ROSE AVE STE 146 AUSTIN 78758 TX USA
339,2019-11-30,30.93,Food,Grocery,Credit Card,HELLOFRESH 40 W 25TH ST FL 6 646-846-3663 10010 NY USA
340,2019-11-30,6.48,Shopping,Gifts,Credit Card,AMAZON DIGITAL           SEATTLE      WA PBS Masterpiece
341,2019-12-01,320.00,Loan,Car Payment,Credit Card,AUDI FCS ST.LOUIS MO 63118 USA
342,2019-12-01,1500.00,Bills,Rent,Cash,GALLARY AT DOMAIN 3000 KRAMER LN AUSTIN 78758 TX USA
343,2019-12-02,42.32,Food,Grocery,Cash,H-E-B #031 11-30-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
344,2019-12-02,13.72,Food,Grocery,Cash,H-E-B #031 12-01-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
345,2019-12-03,16.54,Food,Dine out,Credit Card,CHICK-FIL-A #0923 10901 RESEARCH BLVD AUSTIN 78759 TX USA
346,2019-12-03,38.57,Automobile,Gas,Cash,CHEVRON 0210476 3801 W PARMER LN AUSTIN 78727 TX USA
347,2019-12-03,17.31,Bills,TV Subscription,Cash,Netflix.com 12-02 netflix.com CA xxxx DEBIT CARD RECURRING PYMT
348,2019-12-03,1290.00,Bills,Rent,Cash,CHECK
349,2019-12-04,1.50,Food,Snacks,Credit Card,USA*CANTEEN VENDING 3410 STEEN STREET SAN ANTONIO 78210 TX USA
350,2019-12-04,108.48,Shopping,Shoes,Credit Card,NIKE.COM 1 SW BOWERMAN DR 800-806-6453 97005 OR USA
351,2019-12-04,134.42,Food,Delivery,Cash,SNAPKITCHEN.COM 12-03 HTTPSSNAPK ITC TX xxxx DEBIT CARD RECURRING PYMT
352,2019-12-05,16.23,Shopping,Hobby,Credit Card,AMAZON RETAIL            SEATTLE      WA Audubon's Watercolors 2020 Wal SHIPPING AND TAX
353,2019-12-06,12.00,Food,Dine out,Credit Card,LAVACA ST. BAR 405 LAVACA ST AUSTIN 787010000 TX USA
354,2019-12-06,64.93,Shopping,Gifts,Credit Card,AMAZON RETAIL            SEATTLE      WA ECR4Kids ELR-0216 3-Tier Toy S SHIPPING AND TAX
355,2019-12-06,18.39,Shopping,Gifts,Credit Card,AMAZON MARKETPLACE       SEATTLE      WA Happkid Stacking Cups with Cas SHIPPING AND TAX
356,2019-12-06,42.78,Food,Grocery,Cash,H-E-B #024 12-05-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
357,2019-12-06,22.85,Food,Grocery,Cash,H-E-B GAS #024 12-05-19 AUSTIN T X xxxx DEBIT CARD PURCHASE-PIN
358,2019-12-06,10.00,Healthcare,Copay,Cash,Shrink 12-05 AUSTIN T X xxxx DEBIT CARD PURCHASE
359,2019-12-07,14.96,Food,Dine out,Credit Card,JIMMY JOHNS # 365 - E 601 W MARTIN LUTHER KING JR BLVD AUSTIN 78701 TX USA
360,2019-12-07,21.69,Food,Take out,Credit Card,MOZARTS COFFEE ROASTER3825 LAKE AUSTIN BOULEVA AUSTIN 78703 TX USA
361,2019-12-07,5.61,Bills,Apple Services,Credit Card,APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA
362,2019-12-07,35.70,Shopping,Gifts,Credit Card,AMAZON MARKETPLACE       SEATTLE      WA Hape Mr. Tambourine Kid's Wood Hape First Shapes Toddler Wood SHIPPING AND TAX
363,2019-12-08,22.53,Food,Dine out,Credit Card,TST* HULA HUT 3825 LAKE AUSTIN BLVD AUSTIN 78703 TX USA
364,2019-12-08,10.81,Shopping,Gifts,Credit Card,AMAZON MARKETPLACE       SEATTLE      WA Travelambo Carbon Fiber Money SHIPPING AND TAX
365,2019-12-09,4.50,Food,Dine out,Credit Card,"APPLE CAFFE APLCM 5505 W PARMER LN, BLDG 5 AUSTIN 78727 TX USA"
366,2019-12-09,25.00,Shopping,Clothing,Credit Card,TARGET.COM 7000 TARGET PARKWAY 8005913869 55445 MN USA
367,2019-12-09,77.40,Shopping,Clothing,Credit Card,TARGET.COM 7000 TARGET PARKWAY 8005913869 55445 MN USA
368,2019-12-09,79.25,Automobile,Registration,Cash,GOVERNMENT PAYMENT 12-06 956-682 -3466 TX xxxx DEBIT CARD PURCHASE
369,2019-12-09,510.20,Insurance,Car  ,Cash,GEICO *AUTO 12-06 MACON DC xxxx DEBIT CARD PURCHASE
370,2019-12-09,259.67,Loan,Educational,Credit Card,LINKEDIN-516*03714 12-08 LNKD.IN /BILL CA xxxx DEBIT CARD RECURRING PYMT
371,2019-12-09,8.11,Food,Dine out,Cash,BURGER KING #3990 12-07 AUSTIN T X xxxx DEBIT CARD PURCHASE
372,2019-12-09,7.98,Food,Dine out,Cash,PICNIK 12-07 AUSTIN TX xxxx DEBI T CARD PURCHASE
373,2019-12-09,21.44,Shopping,Gifts,Credit Card,AMAZON MARKETPLACE       SEATTLE      WA M2cbridge L Shape Extra Thick M2cbridge L Shape Extra Thick SHIPPING AND TAX
374,2019-12-09,116.85,Shopping,Gifts,Cash,TARGET T-2409 10107 RESEA 12-06- 19 AUSTIN TX xxxx DEBIT CARD PURCHASE-PIN
375,2019-12-09,29.53,Shopping,Gifts,Cash,TARGET T-2409 10107 RESEA 12-07- 19 AUSTIN TX xxxx DEBIT CARD PURCHASE-PIN
376,2019-12-09,43.28,Food,Grocery,Cash,CENTRAL MARKET #061 12-07-19 AUS TIN TX xxxx DEBIT CARD PURCHASE-PIN
377,2019-12-09,16.07,Food,Grocery,Cash,FIESTA MART #25 12-07-19 AUSTIN TX xxxx DEBIT CARD PURCHASE-PIN
378,2019-12-09,45.55,Food,Grocery,Cash,H-E-B #031 12-08-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
379,2019-12-09,25.32,Food,Grocery,Cash,H-E-B #031 12-08-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
380,2019-12-09,17.57,Food,Grocery,Cash,H-E-B #031 12-08 AUSTIN TX xxxx DEBIT CARD PURCHASE
381,2019-12-09,266.00,Personal Care,Massage,Credit Card,PP*Bliss Wellness 12-07 512-6863 443 TX xxxx DEBIT CARD PURCHASE
382,2019-12-09,3.71,Food,Snacks,Cash,SQ *TROPICAL DREAM 12-07 AUSTIN TX xxxx DEBIT CARD PURCHASE
383,2019-12-10,46.54,Shopping,Gifts,Credit Card,AMAZON RETAIL            SEATTLE      WA Fossil Women's Logan PVC Tab W SHIPPING AND TAX
384,2019-12-11,134.42,Food,Delivery,Cash,SNAPKITCHEN.COM 12-10 5124284000 TX xxxx DEBIT CARD PURCHASE
385,2019-12-12,258.71,Shopping,D残or,Credit Card,WESTELM.COM 3250 VAN NESS AVE 866-937-8356 94109 CA USA
386,2019-12-12,3.00,Bank Charges,ATM Fee,Cash,12-11-19 AUSTIN TX xxxx VELOCITY DEBIT CARD NON-BBT ATM FEE
387,2019-12-12,47.70,Food,Dine out,Cash,PLAZA COLOMBIAN CO 12-10 AUSTIN TX xxxx DEBIT CARD PURCHASE
388,2019-12-12,6.36,Food,Dine out,Cash,PLAZA COLOMBIAN CO 12-10 AUSTIN TX xxxx DEBIT CARD PURCHASE
389,2019-12-12,80.00,Bank Charges,ATM Fee,Cash,AUSTIN-LAKELINE CEDAR PARK TX 12 -11-19 xxxx BB&T 24 CASH WITHDRAWAL
390,2019-12-12,6.87,Food,Alcohol,Cash,HYATT REGENCY AUST 12-10 AUSTIN TX xxxx DEBIT CARD PURCHASE
391,2019-12-13,13.92,Food,Dine out,Credit Card,MCDONALD'S F14122 2608 W. BEAKER LN. AUSTIN 78758 TX USA
392,2019-12-14,40.64,Food,Dine out,Credit Card,THE LOCAL POST 7113 BURNET RD STE 101 AUSTIN 787570000 TX USA
393,2019-12-14,1.50,Food,Snacks,Credit Card,USA*CANTEEN VENDING 3410 STEEN STREET SAN ANTONIO 78210 TX USA
